Magic Mike,Pride & Prejudice
21,Inferno
The Big Lebowski,Neighbors 2: Sorority Rising
The Mummy,Grimsby
Furious 7,The Bank Job
Why Him?,The Truman Show
La ragazza nella nebbia,Dancer in the Dark
What Happens in Vegas,The Intern
The Shawshank Redemption,12 Years a Slave
La dolce vita,Dirty Grandpa
The Greatest Showman,Jackie
The House,The Big Lebowski
Quantum of Solace,Hitman: Agent 47
Mother's Day,The Beguiled
This Means War,Braveheart
Fifty Shades of Grey,Shutter Island
Passengers,Hachi: A Dog's Tale
Now You See Me 2,Ride Along 2
Murder on the Orient Express,The Silence of the Lambs
21,Se7en
The Shape of Water,The Danish Girl
Warrior,Kingsman: The Golden Circle
Wind River,Black Mirror: White Christmas
The Sixth Sense,Her
Taken,Warrior
Magic Mike,The Sixth Sense
The Shawshank Redemption,The Wizard of Lies
Fight Club,Julieta
The Theory of Everything,Black Mirror: White Christmas
Genius,Me Before You
Forrest Gump,Victor Frankenstein
The Escort,The Duchess
The Perks of Being a Wallflower,Black Mirror: White Christmas
Pride & Prejudice,Indignation
Collateral Beauty,It
Requiem for a Dream,Saw V
Exposed,Denial
Spy,Perfetti sconosciuti
Ocean's 8,Perfetti sconosciuti
Lady Bird,Phantom Thread
Transporter 3,The 5th Wave
The Light Between Oceans,The Theory of Everything
The Whole Truth,The Duchess
Misconduct,Black Mirror: White Christmas
Furious 7,Despicable Me 3
Victor Frankenstein,The Age of Adaline
Assassin's Creed,Death Race
Ocean's 8,The Big Lebowski
Genius,Hachi: A Dog's Tale
The Theory of Everything,Il gattopardo
Doubt,Arrival
Her,Loft
Kill Bill: Vol. 1,Kingsman: The Golden Circle
Gone Girl,Sand Castle
Free State of Jones,Ride Along 2
The Infiltrator,Loft
John Wick,The Purge: Election Year
The Twilight Saga: Breaking Dawn - Part 2,Nocturnal Animals
The Bourne Legacy,Spy
The Mummy,John Carter
Me Before You,Sully
Battle of the Sexes,The Truman Show
The Girl on the Train,Unforgettable
Indignation,It
Braveheart,Jason Bourne
The Big Lebowski,Changeling
The 5th Wave,Captain Fantastic
Personal Shopper,Titanic
Denial,It
Thelma,Titanic
Exposed,The Light Between Oceans
Million Dollar Baby,The Duchess
Hitman: Agent 47,Inception
The Shawshank Redemption,The Killing of a Sacred Deer
This Means War,Criminal
The Layover,Why Him?
Project X,What Happens in Vegas
Battle of the Sexes,A Kind of Murder
Fifty Shades of Grey,Grave
The Godfather,Gone Girl
Magic Mike,Hidden Figures
Legend,Léon
The Layover,Ted
Miss Peregrine's Home for Peculiar Children,The Light Between Oceans
Newness,Genius
The Truman Show,A Kind of Murder
Personal Shopper,Hachi: A Dog's Tale
The Shape of Water,Fifty Shades of Grey
Tomb Raider,Miss Peregrine's Home for Peculiar Children
Victoria,Sherlock: The Abominable Bride
Julieta,Keith
About Time,The Escort
Braveheart,Sand Castle
Braveheart,Spotlight
Le Fabuleux Destin d'Amélie Poulain,The Escort
Warcraft,Pirates of the Caribbean: Dead Men Tell No Tales
Inception,Criminal
Kill Bill: Vol. 1,The Silence of the Lambs
Dark Shadows,Going in Style
The Hunger Games,The Twilight Saga: Breaking Dawn - Part 2
Allied,Grimsby
The Martian,Disconnect
21,Solace
Genius,The Sixth Sense
Darkest Hour,Alone in Berlin
Transporter 3,Despicable Me 3
Wild Card,The Godfather
Joy,Revolutionary Road
Blackhat,The Age of Adaline
Demolition,The Age of Adaline
Warrior,Iron Man
The Big Lebowski,Focus
John Wick,Grimsby
Hancock,Now You See Me 2
La La Land,The Imitation Game
The Wizard of Lies,The Duchess
Gone Girl,The Perks of Being a Wallflower
Marley & Me,La dolce vita
The Pianist,Concussion
Collateral Beauty,Disconnect
Going in Style,Legend
Mother's Day,Battle of the Sexes
The Imitation Game,The Duchess
Victoria,The Prestige
Exposed,Collateral Beauty
The Hangover,Ted
The Bourne Legacy,Jason Bourne
Blade Runner 2049,Urge
Un moment d'égarement,The Escort
Wind River,The Imitation Game
Baby Driver,Requiem for a Dream
Ted 2,La dolce vita
Wild Card,Dancer in the Dark
Fight Club,A Kind of Murder
Braveheart,Lucy
The Sixth Sense,The Prestige
Il gattopardo,Passengers
The Shawshank Redemption,Murder on the Orient Express
The Lobster,Going in Style
The Theory of Everything,Thelma
Arrival,Eternal Sunshine of the Spotless Mind
The Curious Case of Benjamin Button,Thelma
Le Fabuleux Destin d'Amélie Poulain,Forrest Gump
Now You See Me 2,Dark Crimes
Iron Man,Mad Max: Fury Road
Spy,Tomb Raider
The Girl on the Train,Shutter Island
Disconnect,Inferno
Gone Girl,Spotlight
Dancer in the Dark,Newness
Battle of the Sexes,Sand Castle
Victoria,Me Before You
Fifty Shades of Grey,The Circle
The Bourne Identity,Genius
The Hangover,Burnt
The Godfather,The Notebook
Unforgettable,The Prestige
The Theory of Everything,Flatliners
Requiem for a Dream,Wind River
Burnt,Mother's Day
Le Fabuleux Destin d'Amélie Poulain,La dolce vita
Léon,Schindler's List
Braveheart,Passengers
Demolition,Ted 2
Spotlight,The Beguiled
